teslimat_saati,bolge_yogunlugu,kullanici_gecmis_basarisi,adres_tipi,hafta_sonu_mu,basari_ihtimali,onerilen_yontem,karbon_kazanci_gram
12,73.8,77.51,1,0,24.87,1,1091.73
21,41.79,61.38,0,0,29.38,1,1003.9
17,61.42,56.54,0,0,24.74,1,1012.51
15,36.42,64.76,0,0,46.08,2,706.91
9,54.44,41.73,0,0,22.34,1,1069.36
9,29.54,77.05,0,0,54.81,2,628.21
8,23.2,72.98,1,0,52.88,2,643.27
19,52.13,53.33,0,0,19.9,1,1126.02
15,43.42,100.0,1,0,61.96,2,566.44
16,29.36,84.14,1,0,60.26,2,567.24
5,39.36,85.84,0,1,34.33,1,964.93
22,79.78,62.25,0,1,11.82,1,1200.03
18,77.83,71.97,1,1,16.11,1,1255.53
10,84.6,84.55,1,0,10.63,1,1239.03
10,43.9,75.06,2,1,42.04,2,796.09
10,59.34,100.0,0,1,44.59,2,797.6
11,32.47,67.92,2,1,42.27,2,775.38
14,2.53,61.91,0,0,59.6,2,545.45
13,22.46,84.69,0,0,67.74,0,426.27
11,18.7,46.71,0,1,44.72,2,784.36
15,46.15,90.49,0,1,52.17,2,658.54
9,30.03,45.99,1,0,29.44,1,1049.56
11,5.38,84.77,0,0,79.1,0,248.3
12,27.24,59.03,2,0,36.62,1,938.52
13,52.79,81.53,1,0,37.08,1,950.56
18,74.48,90.15,2,1,24.23,1,1062.17
10,51.12,75.07,0,0,39.57,1,888.86
14,32.06,48.01,1,0,39.51,1,906.64
15,60.89,54.06,0,1,17.25,1,1132.06
7,31.35,57.43,0,0,34.3,1,914.03
15,43.78,34.1,1,0,21.06,1,1137.31
10,55.68,94.55,0,1,45.54,2,742.71
8,47.37,74.2,0,0,33.84,1,928.7
21,28.04,49.29,1,0,35.05,1,932.22
21,10.39,100.0,0,0,79.99,0,255.39
18,13.04,57.97,0,1,58.47,2,531.3
12,37.34,77.01,0,1,46.36,2,745.19
8,16.79,55.49,0,0,38.38,1,901.64
16,3.83,31.63,1,0,38.87,1,933.19
13,24.34,44.71,0,1,31.46,1,965.87
9,58.73,63.03,1,0,24.81,1,1093.59
14,44.84,89.97,1,0,58.25,2,579.62
7,14.88,78.93,1,0,55.7,2,615.82
20,53.27,74.8,2,0,31.62,1,979.04
11,13.31,31.8,0,0,25.12,1,1111.35
16,58.27,97.4,0,0,42.69,2,730.5
12,45.02,76.47,0,0,35.94,1,933.59
14,11.88,69.61,0,1,70.33,0,357.28
14,34.95,94.65,0,0,55.48,2,613.39
10,11.1,96.95,1,0,98.44,2,116.25
22,31.84,95.09,1,0,44.03,2,784.84
17,27.3,67.06,0,0,57.8,2,602.4
21,50.13,51.93,0,1,24.12,1,1097.66
20,60.26,91.78,0,1,44.22,2,741.83
15,35.99,44.7,2,1,22.94,1,1073.21
20,84.58,100.0,2,1,10.9,1,1189.12
8,26.05,72.56,0,1,53.94,2,692.16
10,52.3,50.78,1,0,19.51,1,1110.25
7,55.48,47.36,0,0,14.43,1,1167.95
12,32.29,46.45,0,0,33.92,1,961.11
13,21.82,74.81,0,0,53.39,2,672.56
11,66.41,71.87,1,0,29.16,1,979.29
18,44.73,47.28,0,0,26.98,1,1061.79
12,34.08,64.87,0,0,35.19,1,918.6
11,28.62,44.64,0,0,36.7,1,952.48
14,35.79,83.79,0,0,47.48,2,693.96
9,51.57,70.91,1,0,41.63,2,802.51
18,32.03,64.43,0,1,46.63,2,721.77
8,51.19,46.24,2,0,14.99,1,1136.33
22,80.74,66.0,0,1,3.81,1,1261.76
17,44.94,63.71,0,1,38.47,1,866.03
10,17.82,78.35,0,0,60.03,2,589.42
1,21.63,75.34,0,0,47.37,2,653.25
18,1.32,87.84,0,0,92.91,0,95.14
16,20.24,62.31,0,1,60.39,2,562.7
17,7.87,34.79,2,0,30.25,1,936.5
17,26.31,91.82,1,0,72.41,2,387.17
8,25.71,53.28,2,0,28.79,1,980.51
12,8.73,49.86,0,0,43.66,2,757.67
9,34.47,71.14,0,1,50.19,2,721.73
19,73.08,78.05,0,0,21.09,1,1129.12
15,82.96,61.38,1,0,17.66,1,1127.27
12,8.8,61.23,2,0,50.36,2,650.83
8,46.35,64.18,1,1,26.79,1,981.78
12,48.22,100.0,0,0,49.75,2,671.68
12,53.46,71.95,0,0,41.26,2,757.91
17,29.54,52.64,0,0,29.31,1,997.22
15,51.45,52.84,0,0,29.35,1,997.82
19,56.25,66.98,0,0,24.42,1,1042.69
13,78.86,76.76,0,1,12.62,1,1184.94
9,44.15,81.68,0,0,47.59,2,688.06
17,6.77,74.48,0,0,77.24,0,257.72
17,32.34,55.16,0,0,39.03,1,924.77
15,44.33,63.52,1,0,37.59,1,914.47
17,27.71,86.68,0,0,56.18,2,621.8
14,54.39,49.08,0,0,21.89,1,1117.66
14,14.32,62.68,1,0,52.42,2,678.67
13,81.22,83.95,1,1,16.66,1,1192.82
6,30.56,89.51,0,0,43.19,2,779.37
9,14.91,68.14,2,0,40.38,2,801.59
6,19.46,63.78,0,0,42.9,2,747.51
15,70.8,45.56,0,0,7.11,1,1239.98
12,20.34,82.51,0,0,64.8,2,528.84
14,46.53,98.38,0,0,55.27,2,613.39
20,74.95,100.0,1,0,31.34,1,933.15
11,18.59,79.73,0,0,60.95,2,485.81
13,69.46,70.98,0,0,9.13,1,1304.85
17,57.44,53.6,2,0,25.93,1,1009.28
11,7.23,34.42,0,1,27.28,1,1002.01
8,54.55,75.54,1,0,33.9,1,980.06
11,66.0,100.0,0,0,36.11,1,880.41
10,6.08,97.42,0,0,75.23,0,313.17
20,35.86,94.33,0,0,46.38,2,778.13
18,39.32,76.91,1,1,51.6,2,724.26
15,28.53,79.19,1,0,49.33,2,674.58
19,28.35,23.53,0,0,8.48,1,1247.87
18,12.92,87.25,0,0,76.59,0,269.0
10,46.11,60.41,2,0,28.86,1,1003.15
20,1.26,57.97,2,0,47.87,2,744.49
14,38.78,65.53,0,0,42.37,2,729.6
18,32.66,64.86,0,0,35.26,1,946.26
20,33.23,57.65,1,0,31.68,1,963.97
12,52.91,72.28,0,1,39.54,1,916.55
9,35.28,60.83,1,0,50.93,2,708.33
10,43.53,74.01,0,0,36.95,1,894.37
13,33.0,42.26,1,0,32.44,1,957.44
18,25.98,67.72,0,1,56.67,2,626.79
19,36.09,50.07,1,0,32.87,1,985.06
1,67.08,59.17,1,1,14.5,1,1101.77
14,48.73,74.87,1,0,39.02,1,908.49
13,2.4,39.92,1,0,52.78,2,695.98
10,49.46,55.55,2,1,27.01,1,1033.5
9,53.69,83.38,2,1,38.43,1,917.32
12,6.39,43.74,0,0,42.56,2,807.62
21,56.02,100.0,0,0,35.52,1,930.38
12,39.51,96.09,1,0,64.19,2,534.16
14,82.12,62.11,2,0,8.38,1,1249.8
16,19.66,56.26,0,1,45.75,2,729.4
12,46.95,76.04,1,0,45.96,2,708.66
22,28.11,43.05,0,0,17.09,1,1150.16
21,70.85,31.96,0,0,2.36,1,1378.29
11,34.34,62.81,1,0,47.88,2,678.34
14,74.63,69.32,1,0,16.69,1,1168.28
11,11.77,73.89,1,0,69.98,2,449.84
11,41.23,59.71,2,0,21.94,1,1131.02
7,47.78,97.48,0,1,50.25,2,726.91
15,55.0,42.1,0,0,21.57,1,1063.48
14,71.17,49.23,2,0,16.31,1,1137.0
7,44.14,81.73,0,0,40.75,2,775.47
11,9.04,48.77,0,0,36.78,1,894.12
20,23.37,47.99,1,0,37.56,1,887.38
11,14.12,74.47,2,1,57.39,2,601.72
9,80.96,50.93,1,1,6.38,1,1247.86
14,41.24,69.34,1,1,49.56,2,663.97
22,29.64,58.0,0,0,36.86,1,883.98
11,46.6,54.77,0,1,38.17,1,906.68
16,51.09,29.95,2,0,16.3,1,1152.52
17,41.84,74.79,1,0,47.69,2,700.42
11,50.19,47.06,0,0,22.36,1,1056.4
17,59.77,68.64,0,0,23.09,1,1024.77
12,18.72,61.76,1,0,53.87,2,682.5
15,42.51,67.87,0,0,43.56,2,748.62
15,46.17,69.01,1,0,49.98,2,761.6
14,61.96,75.87,0,0,24.78,1,1075.79
8,61.64,57.44,0,0,8.75,1,1299.83
18,25.34,96.85,1,1,80.86,2,339.45
12,12.07,35.05,0,1,36.88,1,912.19
10,36.95,67.47,0,0,52.9,2,627.31
7,49.43,88.72,2,0,40.87,2,760.2
15,68.97,81.54,1,0,34.26,1,972.51
16,17.01,52.5,0,0,39.32,1,886.07
5,8.77,55.84,0,1,33.33,1,968.48
14,19.32,51.86,0,0,35.23,1,951.73
10,8.36,83.98,1,1,85.56,2,263.91
16,48.26,57.2,0,0,34.17,1,925.85
10,44.69,77.1,0,0,50.77,2,701.18
16,54.43,77.29,0,1,38.71,1,879.54
13,19.55,100.0,0,0,79.18,0,252.62
21,58.93,78.27,0,0,23.6,1,1088.38
9,21.87,55.78,0,1,45.2,2,735.88
12,47.45,42.8,2,0,21.26,1,1040.4
9,84.32,66.48,2,0,2.06,1,1356.45
20,19.86,69.62,0,0,54.82,2,659.82
19,23.73,27.79,1,1,19.91,1,1056.15
11,21.34,57.72,1,0,54.25,2,597.7
16,26.2,77.95,0,1,60.35,2,616.56
18,23.29,61.35,0,0,48.55,2,704.38
14,28.3,91.37,0,0,62.01,2,536.03
14,32.96,40.83,1,0,28.39,1,996.57
11,51.16,85.54,1,0,49.17,2,659.09
8,62.58,90.28,2,0,25.18,1,1041.96
20,50.93,91.13,1,1,40.96,2,817.72
20,38.41,40.68,2,0,20.85,1,1099.29
15,7.34,78.29,2,1,70.48,0,372.49
12,81.04,58.62,1,0,19.09,1,1173.91
12,41.57,43.88,0,0,31.4,1,955.76
17,39.59,63.72,0,0,38.17,1,901.02
20,67.04,53.9,1,0,14.85,1,1201.93
19,31.04,90.42,1,0,60.59,2,524.97
18,39.22,82.26,0,0,47.38,2,716.78
16,55.68,48.95,1,1,27.59,1,1075.07
8,64.76,57.52,2,0,20.72,1,1091.21
10,35.73,64.39,1,0,51.72,2,691.47
20,43.06,70.55,0,1,35.9,1,914.98
15,72.27,92.13,1,1,26.94,1,1080.67
2,37.43,85.82,0,1,37.36,1,852.31
9,33.62,73.03,0,1,41.24,2,787.12
16,47.06,66.79,1,0,32.88,1,911.13
0,31.18,36.53,1,1,20.15,1,1087.13
10,42.31,97.84,0,1,61.16,2,524.89
14,50.67,63.06,2,1,31.85,1,959.76
16,55.36,100.0,0,0,40.74,2,755.49
16,21.0,75.92,1,1,66.82,2,475.97
10,40.51,100.0,1,0,64.1,2,524.67
17,57.97,84.13,0,0,33.45,1,902.62
11,49.39,43.36,0,0,25.38,1,1026.35
12,43.59,59.71,2,1,25.29,1,1122.74
17,50.1,68.62,0,0,28.49,1,1017.95
16,17.66,54.52,0,1,45.65,2,677.71
19,31.25,64.46,0,0,33.06,1,911.32
16,23.58,44.66,0,0,24.63,1,1061.23
15,40.56,72.11,2,0,31.11,1,979.72
8,67.91,76.75,0,0,19.72,1,1095.73
12,21.57,51.92,1,0,47.94,2,770.48
11,40.17,100.0,0,0,63.09,2,601.51
11,25.14,73.27,1,0,68.27,2,452.77
22,19.03,55.67,1,0,35.21,1,953.63
13,44.61,39.41,0,0,23.01,1,1101.57
20,18.1,73.2,2,1,49.73,2,714.89
15,44.65,66.79,0,0,35.96,1,899.26
18,49.52,87.66,1,0,59.08,2,629.2
14,24.1,69.13,2,0,48.53,2,695.55
15,39.3,48.13,1,1,35.48,1,936.89
14,79.17,100.0,1,0,17.19,1,1143.8
10,6.35,80.71,0,0,77.64,0,264.11
17,32.79,66.92,0,0,48.27,2,709.14
11,80.33,75.29,0,1,21.1,1,1061.16
6,48.36,81.48,2,0,29.66,1,934.97
16,62.29,43.42,2,0,14.1,1,1174.34
10,67.69,75.15,0,0,23.43,1,1042.4
21,63.17,63.0,0,1,21.57,1,1107.63
21,47.87,82.15,0,0,39.08,1,894.1
20,53.91,57.2,0,0,30.06,1,989.65
12,23.14,59.91,0,0,51.41,2,707.57
4,34.0,100.0,1,1,57.12,2,594.34
20,71.01,96.62,2,1,33.97,1,898.61
13,72.49,6.09,1,0,0.0,1,1343.29
21,40.05,95.14,1,0,54.16,2,665.16
21,41.29,70.53,1,0,40.94,2,732.25
19,22.86,57.84,1,0,40.81,2,787.47
11,52.67,51.86,0,0,19.89,1,1128.54
12,6.87,53.02,0,1,43.26,2,840.49
19,22.79,58.4,0,0,39.03,1,917.93
12,45.65,49.46,1,0,34.04,1,945.54
10,40.31,44.91,2,1,29.2,1,1015.19
14,42.33,51.19,1,0,28.71,1,948.51
21,35.02,78.47,2,1,44.46,2,714.93
16,8.58,73.0,0,0,73.53,0,337.17
15,69.65,83.12,1,1,21.54,1,1096.35
8,28.25,70.67,2,1,39.93,1,879.45
15,41.22,45.87,1,0,31.09,1,977.95
23,73.39,81.89,2,0,13.78,1,1184.48
9,59.67,51.91,1,0,27.28,1,1025.7
14,75.47,84.93,0,1,14.39,1,1145.65
19,29.54,48.68,0,0,25.84,1,1033.01
17,29.68,58.25,1,1,50.72,2,634.01
16,66.17,64.77,2,0,11.21,1,1196.87
16,38.85,85.49,0,0,56.33,2,639.9
12,23.23,75.52,1,0,66.02,2,482.31
11,78.83,72.4,1,0,20.57,1,1121.04
18,26.09,100.0,0,1,75.26,0,300.35
18,38.15,35.26,0,1,25.45,1,1033.09
19,37.65,51.23,0,0,22.89,1,1045.07
20,50.79,50.38,0,1,21.36,1,1081.73
14,23.34,36.59,0,0,28.23,1,1016.76
14,6.43,57.61,0,1,52.1,2,672.16
18,48.05,85.76,0,1,47.87,2,709.25
16,45.24,60.17,1,0,30.52,1,1003.22
16,13.4,65.34,1,0,63.59,2,471.35
18,35.35,37.55,1,0,35.41,1,951.05
19,13.23,56.07,0,1,39.69,1,839.82
12,54.42,62.77,2,0,25.64,1,1071.87
12,14.54,84.85,2,1,60.43,2,569.88
8,49.32,38.5,2,1,11.51,1,1155.8
15,54.77,62.9,0,0,31.96,1,988.6
7,38.4,93.74,2,1,44.22,2,779.16
13,76.44,63.1,1,0,20.06,1,1146.97
14,2.84,29.69,0,0,30.63,1,959.43
11,61.29,97.58,0,1,39.34,1,883.33
15,45.55,86.7,1,0,46.79,2,739.41
6,61.57,89.39,0,0,27.47,1,1042.39
7,73.96,37.12,0,0,9.74,1,1245.44
18,38.53,100.0,0,0,53.83,2,621.26
12,37.14,56.53,1,1,36.22,1,944.95
9,72.18,61.81,2,1,2.4,1,1350.98
14,26.65,57.94,1,0,39.93,1,866.25
17,53.69,90.94,1,0,44.76,2,719.4
10,47.99,68.4,0,1,32.07,1,943.29
15,69.77,81.63,1,0,22.99,1,1115.04
8,9.56,73.52,0,0,63.47,2,546.92
7,8.93,70.1,2,1,56.42,2,602.35
14,29.4,53.06,0,1,35.86,1,913.67
14,38.02,100.0,0,0,65.94,0,355.62
15,46.69,42.73,0,1,29.99,1,987.56
17,20.64,80.25,1,0,73.14,2,366.58
22,6.53,79.53,2,0,48.33,2,704.81
14,87.15,95.09,0,0,17.71,1,1173.07
12,28.84,99.76,0,0,74.84,0,272.49
18,65.63,69.25,1,0,20.12,1,1115.74
11,19.63,82.61,2,1,61.8,2,568.37
13,35.32,100.0,0,1,65.16,0,424.74
8,14.63,70.7,0,0,57.07,2,579.49
6,80.18,50.67,0,1,4.48,1,1296.54
21,26.95,64.31,1,0,42.75,2,795.77
18,11.55,45.91,0,0,45.74,2,739.02
16,71.54,79.44,0,0,23.9,1,1063.04
13,28.87,93.29,0,0,76.91,0,311.75
10,70.87,69.58,1,0,17.98,1,1149.65
9,57.76,39.58,2,1,13.2,1,1155.47
11,48.23,92.43,2,0,48.68,2,714.84
14,53.09,36.47,1,0,12.43,1,1229.36
17,27.19,41.08,1,1,41.15,2,749.11
16,27.1,68.43,0,0,43.85,2,685.73
11,41.58,77.04,1,0,52.56,2,618.04
21,60.45,80.44,0,0,19.42,1,1113.94
17,40.53,70.68,1,0,46.46,2,752.79
14,6.28,100.0,2,1,81.72,0,192.69
15,50.69,73.3,2,0,42.16,2,790.73
13,33.93,92.69,0,0,55.88,2,522.63
11,41.29,87.74,1,0,52.52,2,655.2
12,36.09,46.14,2,0,29.22,1,987.2
17,34.83,68.61,0,0,41.7,2,842.51
4,39.7,100.0,1,0,49.93,2,624.09
9,62.35,61.91,0,0,19.76,1,1112.5
7,16.74,58.51,2,0,33.33,1,893.15
7,32.6,75.41,0,0,43.07,2,746.71
19,14.39,62.63,0,1,44.58,2,693.98
16,34.76,56.13,1,1,44.27,2,817.75
14,41.01,62.33,0,0,41.16,2,775.45
9,19.03,100.0,0,0,83.74,0,188.81
14,46.7,69.27,1,0,43.83,2,752.78
